address,flag,minTimeBetweenSentTnx,maxTimeBetweenSentTnx,avgTimeBetweenSentTnx,minTimeBetweenRecTnx,maxTimeBetweenRecTnx,avgTimeBetweenRecTnx,lifetime,sentTransactions,receivedTransactions,createdContracts,Average_of_numUniqSentAddress,Average_of_numUniqRecAddress,minValSent,maxValSent,avgValSent,minValReceived,maxValReceived,avgValReceived,totalTransactions,totalEtherSent,totalEtherReceived,totalEtherBalance,activityDays,dailyMax,ratioRecSent,ratioSentTotal,ratioRecTotal,giniSent,giniRec,txFreq,stdBalanceEth
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0,0,0,0,0,1603484647,160362.4903,2,0,10000,0,0,31,0,0,0,0,500,0.06,10000,0,600,600,2,5485,10000,0,0.99990001,0,0.999865,5000,60.53925669
0x0000000000085d4780b73119b644ae5ecd22b376,0,0,0,0,0,189091,166.377738,20,0,9999,1,0,1814,0,0,0,0,0,0,10000,0,0,0,20,1387,9999,0,0.99980002,0,0,500,0
0x00000000000a47b1298f18cf67de547bbe0d723f,0,0,0,0,0,1648811316,165460.505,68,0,10000,0,0,3,0,0,0,0,0,0,10000,0,2.07E-14,2.07E-14,68,639,10000,0,0.99990001,0,6.80E-12,147.0588235,7.01E-15
0x00000000000e1d0dabf7b7c7b68866fc940d0db8,0,0,0,0,0,1633267765,314955.275,333,0,5277,0,0,6,0,0,0,0,0,0,5277,0,0,0,333,83,5277,0,0.999810534,0,3.99E-17,15.84684685,0
0x000000000035b5e5ad9019092c665357240f594e,0,0,0,0,0,1622688855,162405.7403,16,0,10000,0,0,5,0,0,0,0,20,0.004,10000,0,40,40,16,956,10000,0,0.99990001,0,0.999725007,625,10.16699739
0x00000000003b3cc22af3ae1eac0440bcee416b40,0,0,0,0,0,1621599480,162268.0837,13,0,10000,0,0,3,0,0,0,0,10.362662,0.049137,10000,0,491.3688474,491.3688474,13,1184,10000,0,0.99990001,0,0.846472643,769.2307692,134.3374223
0x00000000006c3852cbef3e08e8df289169ede581,0,0,0,0,0,1654983446,165526.039,4,0,10000,0,0,5822,0,0,0,0,19.8,0.196086,10000,0,1960.856266,1960.856266,4,6320,10000,0,0.99990001,0,0.814657292,2500,560.3062923
0x00000000008c4fb1c916e0c88fd4cc402d935e7d,0,0,0,0,0,1630429599,163442.7696,47,0,10000,0,0,4,0,0,0,0,6.109558,0.021858,10000,0,218.5799469,218.5799469,47,463,10000,0,0.99990001,0,0.976180307,212.7659574,53.01603844
0x0000000000d9455cc7eb92d06e00582a982f68fe,0,0,0,0,0,1647580427,165411.9096,76,0,10000,0,0,3,0,0,0,0,1,0.013009,10000,0,130.0894766,130.0894766,76,331,10000,0,0.99990001,0,0.649441768,131.5789474,37.36891515
0x000000000532b45f47779fce440748893b257865,1,83,35538,11971,0,1594562749,79732364.05,2,3,20,0,3,20,39.041473,39.044,39.043158,0.00041,14.331,5.856601,23,117.1294734,117.1320249,0.0025515,2,20,5,0.125,0.833333333,0.0000144,0.387314725,11.5,38.36369015
0x00000000072d54638c2c2a3da3f715360269eea1,1,0,6648,1281.695652,40,1630132405,54346478.6,4,23,30,0,17,28,0,82,9.389806,0.004312,208.090009,7.17313,53,215.9655327,215.1939096,-0.771623044,4,18,1.25,0.425925926,0.555555556,0.77837183,0.95361977,13.25,65.46370442
0x0000000009324b6434d7766af41908e4c49ee1d7,1,16,25205,4494.5,164,1594482934,177169476,1,6,9,0,3,9,15.194834,39.5409,27.368174,0.01,100,18.2461,15,164.2090427,164.2149017,0.005859,1,15,1.285714286,0.375,0.5625,0.222380385,0.682416311,15,40.50419321
